-319.500115	0.028490077
-319.4170309	0.064411534
-319.3339467	0.100328712
-319.2508625	0.136241609
-319.1677784	0.172150224
-319.0846942	0.208054555
-319.0016101	0.243954599
-318.9185259	0.279850355
-318.8354418	0.315741822
-318.7523576	0.351628997
-318.6692735	0.387511879
-318.5861893	0.423390465
-318.5031052	0.459264755
-318.420021	0.495134745
-318.3369368	0.531000435
-318.2538527	0.566861822
-318.1707685	0.602718905
-318.0876844	0.638571682
-318.0046002	0.674420151
-317.9215161	0.710264311
-317.8384319	0.746104158
-317.7553478	0.781939692
-317.6722636	0.817770911
-317.5891795	0.853597813
-317.5060953	0.889420396
-317.4230112	0.925238658
-317.339927	0.961052598
-317.2568428	0.996862213
-317.1737587	1.032667502
-317.0906745	1.068468463
-317.0075904	1.104265094
-316.9245062	1.140057393
-316.8414221	1.175845359
-316.7583379	1.211628989
-316.6752538	1.247408283
-316.5921696	1.283183237
-316.5090855	1.31895385
-316.4260013	1.35472012
-316.3429171	1.390482046
-316.259833	1.426239626
-316.1767488	1.461992857
-316.0936647	1.497741738
-316.0105805	1.533486267
-315.9274964	1.569226443
-315.8444122	1.604962263
-315.7613281	1.640693725
-315.6782439	1.676420828
-315.5951598	1.71214357
-315.5120756	1.747861949
-315.4289914	1.783575963
-315.3459073	1.81928561
-315.2628231	1.854990889
-315.179739	1.890691797
-315.0966548	1.926388333
-315.0135707	1.962080495
-314.9304865	1.997768281
-314.8474024	2.03345169
-314.7643182	2.069130718
-314.6812341	2.104805365
-314.5981499	2.140475629
-314.5150658	2.176141507
-314.4319816	2.211802999
-314.3488974	2.247460101
-314.2658133	2.283112813
-314.1827291	2.318761132
-314.099645	2.354405056
-314.0165608	2.390044584
-313.9334767	2.425679714
-313.8503925	2.461310444
-313.7673084	2.496936772
-313.6842242	2.532558696
-313.6011401	2.568176214
-313.5180559	2.603789324
-313.4349717	2.639398026
-313.3518876	2.675002315
-313.2688034	2.710602192
-313.1857193	2.746197654
-313.1026351	2.781788699
-313.019551	2.817375325
-312.9364668	2.85295753
-312.8533827	2.888535313
-312.7702985	2.924108671
-312.6872144	2.959677603
-312.6041302	2.995242107
-312.5210461	3.030802181
-312.4379619	3.066357823
-312.3548777	3.101909031
-312.2717936	3.137455804
-312.1887094	3.172998139
-312.1056253	3.208536034
-312.0225411	3.244069489
-311.939457	3.2795985
-311.8563728	3.315123066
-311.7732887	3.350643185
-311.6902045	3.386158855
-311.6071204	3.421670074
-311.5240362	3.457176841
-311.440952	3.492679154
-311.3578679	3.52817701
-311.2747837	3.563670407
-311.1916996	3.599159345
-311.1086154	3.63464382
-311.0255313	3.670123832
-310.9424471	3.705599378
-310.859363	3.741070456
-310.7762788	3.776537064
-310.6931947	3.811999201
-310.6101105	3.847456864
-310.5270264	3.882910052
-310.4439422	3.918358763
-310.360858	3.953802995
-310.2777739	3.989242746
-310.1946897	4.024678014
-310.1116056	4.060108797
-310.0285214	4.095535093
-309.9454373	4.130956901
-309.8623531	4.166374218
-309.779269	4.201787043
-309.6961848	4.237195374
-309.6131007	4.272599208
-309.5300165	4.307998544
-309.4469323	4.34339338
-309.3638482	4.378783714
-309.280764	4.414169545
-309.1976799	4.449550869
-309.1145957	4.484927686
-309.0315116	4.520299994
-308.9484274	4.55566779
-308.8653433	4.591031072
-308.7822591	4.626389839
-308.699175	4.661744089
-308.6160908	4.69709382
-308.5330067	4.732439029
-308.4499225	4.767779716
-308.3668383	4.803115878
-308.2837542	4.838447513
-308.20067	4.873774619
-308.1175859	4.909097194
-308.0345017	4.944415237
-307.9514176	4.979728746
-307.8683334	5.015037718
-307.7852493	5.050342151
-307.7021651	5.085642045
-307.619081	5.120937396
-307.5359968	5.156228203
-307.4529126	5.191514464
-307.3698285	5.226796177
-307.2867443	5.26207334
-307.2036602	5.297345951
-307.120576	5.332614009
-307.0374919	5.36787751
-306.9544077	5.403136455
-306.8713236	5.438390839
-306.7882394	5.473640662
-306.7051553	5.508885922
-306.6220711	5.544126616
-306.5389869	5.579362743
-306.4559028	5.614594301
-306.3728186	5.649821287
-306.2897345	5.685043701
-306.2066503	5.720261539
-306.1235662	5.7554748
-306.040482	5.790683483
-305.9573979	5.825887584
-305.8743137	5.861087103
-305.7912296	5.896282037
-305.7081454	5.931472384
-305.6250613	5.966658142
-305.5419771	6.00183931
-305.4588929	6.037015885
-305.3758088	6.072187866
-305.2927246	6.10735525
-305.2096405	6.142518036
-305.1265563	6.177676222
-305.0434722	6.212829805
-304.960388	6.247978784
-304.8773039	6.283123157
-304.7942197	6.318262922
-304.7111356	6.353398076
-304.6280514	6.388528619
-304.5449672	6.423654547
-304.4618831	6.458775859
-304.3787989	6.493892554
-304.2957148	6.529004628
-304.2126306	6.564112081
-304.1295465	6.59921491
-304.0464623	6.634313113
-303.9633782	6.669406688
-303.880294	6.704495633
-303.7972099	6.739579947
-303.7141257	6.774659627
-303.6310416	6.809734672
-303.5479574	6.844805079
-303.4648732	6.879870846
-303.3817891	6.914931972
-303.2987049	6.949988455
-303.2156208	6.985040292
-303.1325366	7.020087481
-303.0494525	7.055130021
-302.9663683	7.09016791
-302.8832842	7.125201145
-302.8002	7.160229725
-302.7171159	7.195253648
-302.6340317	7.230272912
-302.5509475	7.265287514
-302.4678634	7.300297453
-302.3847792	7.335302727
-302.3016951	7.370303333
-302.2186109	7.405299271
-302.1355268	7.440290537
-302.0524426	7.47527713
-301.9693585	7.510259048
-301.8862743	7.545236289
-301.8031902	7.580208851
-301.720106	7.615176732
-301.6370219	7.650139929
-301.5539377	7.685098442
